clothing_id,age,Title,Review Text,Rating,Recommended IND,Positive Feedback Count,Division Name,Department Name,Class Name,review_date
1102,60,Beautiful,Very comfortable.,Loved it,1,25,General,Tops,Knits,2014-01-01 00:00:00
1179,38,Love,Scratchy material.,Loved it,1,64,General Petite,Trend,Lounge,2014-01-01 01:00:00
1092,37,Beautiful!,Very comfortable.,Was okay,1,68,Initmates,Jackets,Dresses,2014-01-01 02:00:00
1014,18,Perfect transition dress,Great fit and quality!,Loved it,1,18,Initmates,Tops,Knits,2014-01-01 03:00:00
1106,56,nan,Great fit and quality!,Liked it,1,12,Initmates,Tops,Intimates,2014-01-01 04:00:00
1071,64,Beautiful,Scratchy material.,Not great,0,93,General Petite,Tops,Lounge,2014-01-01 05:00:00
1188,34,Beautiful!,Great fit and quality!,Loved it,0,56,General,Dresses,Lounge,2014-01-01 06:00:00
1020,46,"Cute, but see through",Scratchy material.,Loved it,0,32,General Petite,Intimate,Knits,2014-01-01 07:00:00
1102,25,"Cute, but see through",Great fit and quality!,Not great,0,54,General Petite,Trend,Dresses,2014-01-01 08:00:00
1121,43,Love!,"Too small, returning.",Loved it,1,21,General Petite,Intimate,Intimates,2014-01-01 09:00:00
1074,45,Love,Lovely fabric and color.,Loved it,0,67,General,Tops,Intimates,2014-01-01 10:00:00
1087,51,Please make more like this one!,Very comfortable.,Was okay,1,25,General,Intimate,Knits,2014-01-01 11:00:00
1116,43,Beautiful,Scratchy material.,Loved it,0,86,General Petite,Jackets,Jackets,2014-01-01 12:00:00
1099,30,Beautiful!,Great fit and quality!,Loved it,1,83,Initmates,Jackets,Intimates,2014-01-01 13:00:00
1103,61,Beautiful!,"Too small, returning.",Loved it,0,37,Initmates,Dresses,Lounge,2014-01-01 14:00:00
1151,54,Love it!,Great fit and quality!,Not great,0,2,General Petite,Trend,Blouses,2014-01-01 15:00:00
1130,30,"Cute, but see through","Too small, returning.",Was okay,0,43,Initmates,Dresses,Dresses,2014-01-01 16:00:00
1149,55,Love!,Very comfortable.,Liked it,1,64,General,Intimate,Dresses,2014-01-01 17:00:00
1052,42,Beautiful,Lovely fabric and color.,Loved it,1,27,Initmates,Dresses,Blouses,2014-01-01 18:00:00
1001,64,Please make more like this one!,Lovely fabric and color.,Loved it,0,76,General Petite,Intimate,Pants,2014-01-01 19:00:00
1087,40,Love!,"Too small, returning.",Not great,1,13,General Petite,Bottoms,Jackets,2014-01-01 20:00:00
1157,39,Love it!,Great fit and quality!,Liked it,1,45,Initmates,Tops,Intimates,2014-01-01 21:00:00
1037,38,Please make more like this one!,Lovely fabric and color.,Loved it,1,24,Initmates,Jackets,Pants,2014-01-01 22:00:00
1129,47,"Cute, but see through",Great fit and quality!,Not great,1,13,General,Bottoms,Pants,2014-01-01 23:00:00
1191,28,Love,Scratchy material.,Not great,1,61,General,Trend,Knits,2014-01-02 00:00:00
1187,21,Love,Great fit and quality!,Liked it,1,98,General,Tops,Blouses,2014-01-02 01:00:00
1020,50,"Cute, but see through",Scratchy material.,Hated it ,1,45,General,Jackets,Knits,2014-01-02 02:00:00
1160,64,Beautiful,Scratchy material.,Loved it,1,96,Initmates,Bottoms,Jackets,2014-01-02 03:00:00
1057,29,Beautiful!,Lovely fabric and color.,Liked it,1,8,General Petite,Intimate,Knits,2014-01-02 04:00:00
1021,26,"Cute, but see through",Scratchy material.,Loved it,1,50,General Petite,Bottoms,Blouses,2014-01-02 05:00:00
1088,49,Perfect transition dress,Great fit and quality!,Liked it,1,5,Initmates,Tops,Dresses,2014-01-02 06:00:00
1048,28,"Cute, but see through",Very comfortable.,Not great,1,2,Initmates,Jackets,Knits,2014-01-02 07:00:00
1058,54,Beautiful,Great fit and quality!,Liked it,0,37,General Petite,Bottoms,Intimates,2014-01-02 08:00:00
1169,41,"Cute, but see through","Too small, returning.",Was okay,0,40,General Petite,Bottoms,Blouses,2014-01-02 09:00:00
1187,24,Beautiful,"Too small, returning.",Loved it,1,2,Initmates,Jackets,Lounge,2014-01-02 10:00:00
1014,25,"Cute, but see through",Great fit and quality!,Liked it,1,78,Initmates,Tops,Dresses,2014-01-02 11:00:00
1189,50,Please make more like this one!,"Too small, returning.",Loved it,1,44,General Petite,Intimate,Dresses,2014-01-02 12:00:00
1189,42,Please make more like this one!,Very comfortable.,Loved it,0,27,General,Dresses,Dresses,2014-01-02 13:00:00
1174,18,Beautiful!,"Too small, returning.",Liked it,0,56,General,Trend,Dresses,2014-01-02 14:00:00
1189,20,"Cute, but see through",Lovely fabric and color.,Liked it,1,55,General,Dresses,Blouses,2014-01-02 15:00:00
1050,57,Please make more like this one!,Very comfortable.,Loved it,1,35,General Petite,Jackets,Blouses,2014-01-02 16:00:00
1107,45,Love!,Lovely fabric and color.,Liked it,0,64,General Petite,Jackets,Jackets,2014-01-02 17:00:00
1054,60,Beautiful,Lovely fabric and color.,Liked it,1,94,Initmates,Trend,Knits,2014-01-02 18:00:00
1063,50,"Cute, but see through",Very comfortable.,Liked it,1,77,Initmates,Bottoms,Intimates,2014-01-02 19:00:00
1130,63,Love it!,Lovely fabric and color.,Loved it,0,94,Initmates,Trend,Lounge,2014-01-02 20:00:00
1050,18,Beautiful,"Too small, returning.",Liked it,0,58,General Petite,Jackets,Knits,2014-01-02 21:00:00
1134,55,"Cute, but see through",Great fit and quality!,Liked it,1,84,General Petite,Intimate,Dresses,2014-01-02 22:00:00
1020,44,Love it!,Very comfortable.,Liked it,0,94,Initmates,Intimate,Knits,2014-01-02 23:00:00
1072,55,"Cute, but see through",Great fit and quality!,Was okay,1,0,General,Intimate,Blouses,2014-01-03 00:00:00
1166,52,Beautiful!,Very comfortable.,Liked it,1,89,Initmates,Trend,Lounge,2014-01-03 01:00:00
1017,27,Love,Very comfortable.,Not great,1,63,General,Tops,Intimates,2014-01-03 02:00:00
1131,29,Beautiful,Lovely fabric and color.,Hated it ,1,78,Initmates,Trend,Pants,2014-01-03 03:00:00
1088,27,"Cute, but see through",Great fit and quality!,Was okay,1,66,General,Dresses,Pants,2014-01-03 04:00:00
1059,51,nan,"Too small, returning.",Loved it,1,13,General Petite,Dresses,Lounge,2014-01-03 05:00:00
1013,41,nan,Great fit and quality!,Loved it,0,27,General,Dresses,Jackets,2014-01-03 06:00:00
1008,45,Please make more like this one!,Very comfortable.,Was okay,0,6,Initmates,Trend,Knits,2014-01-03 07:00:00
1089,39,Beautiful,"Too small, returning.",Loved it,1,51,Initmates,Jackets,Blouses,2014-01-03 08:00:00
1052,62,Love it!,Lovely fabric and color.,Loved it,1,45,General,Intimate,Jackets,2014-01-03 09:00:00
1129,33,Please make more like this one!,"Too small, returning.",Not great,1,50,General Petite,Intimate,Lounge,2014-01-03 10:00:00
1083,30,Beautiful,"Too small, returning.",Liked it,1,94,Initmates,Intimate,Dresses,2014-01-03 11:00:00
1091,53,Love!,Great fit and quality!,Loved it,1,99,Initmates,Trend,Lounge,2014-01-03 12:00:00
1110,53,Love!,Very comfortable.,Hated it ,1,51,General Petite,Tops,Knits,2014-01-03 13:00:00
1187,60,Beautiful,Very comfortable.,Liked it,1,45,Initmates,Intimate,Intimates,2014-01-03 14:00:00
1198,40,Love!,Very comfortable.,Liked it,1,7,General Petite,Dresses,Blouses,2014-01-03 15:00:00
1171,31,"Cute, but see through",Scratchy material.,Loved it,1,49,Initmates,Intimate,Dresses,2014-01-03 16:00:00
1007,49,Perfect transition dress,Lovely fabric and color.,Liked it,1,52,Initmates,Bottoms,Pants,2014-01-03 17:00:00
1174,20,Perfect transition dress,Great fit and quality!,Liked it,1,42,General,Tops,Lounge,2014-01-03 18:00:00
1034,44,Love!,Very comfortable.,Liked it,0,72,Initmates,Bottoms,Blouses,2014-01-03 19:00:00
1080,36,Beautiful,"Too small, returning.",Loved it,0,32,General Petite,Jackets,Knits,2014-01-03 20:00:00
1163,39,Beautiful!,Scratchy material.,Liked it,1,30,General,Intimate,Dresses,2014-01-03 21:00:00
1049,18,Love,Lovely fabric and color.,Liked it,1,37,General Petite,Trend,Blouses,2014-01-03 22:00:00
1103,22,Love,Very comfortable.,Was okay,1,29,General,Trend,Jackets,2014-01-03 23:00:00
1131,66,Love!,Scratchy material.,Liked it,1,39,General,Tops,Pants,2014-01-04 00:00:00
1001,50,Beautiful!,Lovely fabric and color.,Loved it,1,64,Initmates,Trend,Intimates,2014-01-04 01:00:00
1133,68,Beautiful,"Too small, returning.",Loved it,1,35,General,Tops,Intimates,2014-01-04 02:00:00
1053,36,Perfect transition dress,Scratchy material.,Liked it,1,61,General Petite,Intimate,Knits,2014-01-04 03:00:00
1105,53,Perfect transition dress,Great fit and quality!,Liked it,1,44,General,Intimate,Knits,2014-01-04 04:00:00
1003,68,Please make more like this one!,Lovely fabric and color.,Loved it,0,75,General,Tops,Jackets,2014-01-04 05:00:00
1053,23,Beautiful,Scratchy material.,Loved it,1,23,Initmates,Jackets,Blouses,2014-01-04 06:00:00
1190,32,Please make more like this one!,Scratchy material.,Loved it,1,23,Initmates,Intimate,Blouses,2014-01-04 07:00:00
1145,53,Please make more like this one!,Lovely fabric and color.,Loved it,1,93,General,Tops,Intimates,2014-01-04 08:00:00
1043,50,Love!,Scratchy material.,Loved it,1,52,General,Tops,Pants,2014-01-04 09:00:00
1161,41,"Cute, but see through",Scratchy material.,Not great,1,35,General Petite,Trend,Intimates,2014-01-04 10:00:00
1189,44,"Cute, but see through",Lovely fabric and color.,Liked it,1,30,Initmates,Jackets,Blouses,2014-01-04 11:00:00
1013,66,Love it!,"Too small, returning.",Hated it ,1,46,General Petite,Trend,Blouses,2014-01-04 12:00:00
1094,28,Love it!,Great fit and quality!,Not great,1,90,General,Tops,Intimates,2014-01-04 13:00:00
1047,66,Please make more like this one!,Lovely fabric and color.,Liked it,1,6,General Petite,Jackets,Pants,2014-01-04 14:00:00
1014,40,Love it!,Very comfortable.,Liked it,0,50,Initmates,Jackets,Knits,2014-01-04 15:00:00
1199,50,Love,Scratchy material.,Not great,1,94,General Petite,Dresses,Jackets,2014-01-04 16:00:00
1189,58,Perfect transition dress,Great fit and quality!,Loved it,1,27,Initmates,Jackets,Intimates,2014-01-04 17:00:00
1039,63,Please make more like this one!,Great fit and quality!,Loved it,1,64,Initmates,Bottoms,Knits,2014-01-04 18:00:00
1081,64,Beautiful!,Lovely fabric and color.,Loved it,1,24,General Petite,Intimate,Dresses,2014-01-04 19:00:00
